feature,mean_abs_shap
market_share_pos_lag1,0.020331870005206514
macd_signal,0.0163110835684115
month,0.013307089556338584
atr_14,0.012077965546465667
sent_ma_30d,0.008212154781056242
macd,0.0081173689205346
vol_20d,0.007994054784988087
stock_id,0.006476642336380689
market_share_neg_lag1,0.006330447777808039
market_share_sarc_lag1,0.005742223201675358
ret_3d,0.0038590176395130894
bb_width,0.003466257182840864
ret_20d,0.003460789536559135
mentions_lag1,0.0031727510015997456
quarter,0.002503211868432837
sent_std_lag1,0.0024926905225794707
rsi_14,0.002421859516962666
macd_hist,0.002408649388337292
market_sent_mean_lag1,0.002225281164983249
price_vs_sma50,0.0018917963279892012
sent_ma_7d,0.0018829097076659878
share_positive_lag1,0.0018404763664749387
ret_5d,0.001700429650102544
sent_ma_14d,0.0016061021539369408
share_negative_lag1,0.0014571490448857972
vol_ratio,0.0013339203077693117
ret_10d,0.0011361252504087716
sent_vs_market_lag1,0.0010385481292981176
joy_mean_lag1,0.0008817556377253356
sadness_mean_lag1,0.0008642554010683098
sent_adj_lag1,0.0007327294344620893
sarcasm_mean_lag1,0.0006996008930197248
is_monday,0.0006801493614724545
hl_range,0.0006739084088283748
dow,0.000596106280961912
share_sarcastic_lag1,0.0005506366931630617
ret_1d,0.0005373322520373867
price_vs_sma20,0.0004914765724865098
sent_momentum,0.00042650076985659195
sent_ma_3d,0.00038696409459305757
emoji_mean_lag1,0.0002678710517496547
bb_pos,0.00021214751406001633
sent_mean_lag1,0.00019037661106577678
vol_5d,0.0001468332647971021
anger_mean_lag1,0.0
share_neutral_lag1,0.0
finbert_mean_lag1,0.0
fear_mean_lag1,0.0
is_friday,0.0
